,AttendanceDate,Center,Best Interest,In Attendance,Other,Sick,Unexcused Absence,FD,PD
45,1/10/2019,Schilling,0,47,2,5,0,23,31
46,1/10/2019,Searles,0,41,1,2,0,0,44
47,1/10/2019,Sharon Jones,0,48,1,7,0,24,32
48,1/10/2019,Unidos,1,38,2,5,0,46,0
49,1/10/2019,Valley Medical Center,0,59,1,4,0,64,0
50,1/10/2019,Washington Hospital,0,59,1,0,0,60,0
51,1/11/2019,Amador,0,65,1,17,3,56,30
52,1/11/2019,Arbuckle,2,69,2,12,0,53,32
53,1/11/2019,Baldwin Park,0,63,0,13,2,46,32
54,1/11/2019,Bay,0,36,0,12,0,0,48
55,1/11/2019,Carlson,0,30,2,0,0,20,12
56,1/11/2019,Castlemont,0,60,1,7,1,69,0
57,1/11/2019,Cesar Chavez,4,74,2,14,0,0,94
58,1/11/2019,Chynoweth,0,29,0,5,0,34,0
59,1/11/2019,Colonial Acres,1,40,0,6,0,0,47
60,1/11/2019,Corvallis,2,41,1,4,0,0,48
61,1/11/2019,Cox,2,34,0,12,0,0,48
62,1/11/2019,Cureton,0,54,0,9,0,0,63
63,1/11/2019,Dayton,0,42,0,6,0,0,48
64,1/11/2019,Decoto,4,82,1,7,2,61,35
65,1/11/2019,Del Rey,0,38,0,7,0,0,45
66,1/11/2019,Delaine Eastin,0,26,2,1,0,22,7
67,1/11/2019,Dorsa,1,41,0,6,0,0,48
68,1/11/2019,Eden Palms,0,38,0,3,0,41,0
69,1/11/2019,Eden Youth,2,59,1,16,0,48,30
70,1/11/2019,Educare,1,57,0,19,0,51,26
71,1/11/2019,Emerald Vista,2,62,3,10,0,29,48
72,1/11/2019,Esther Hobbs,0,50,1,3,0,54,0
73,1/11/2019,FH,0,97,0,3,0,100,0
74,1/11/2019,Foxdale,2,32,2,5,0,41,0
75,1/11/2019,Glen Berry,0,25,0,4,0,21,8
76,1/11/2019,Goss,0,34,0,9,1,0,44
77,1/11/2019,Graham,3,45,1,7,0,24,32
78,1/11/2019,Grant,2,38,0,5,0,0,45
79,1/11/2019,Guy Emanuele,1,30,2,6,0,0,39
80,1/11/2019,Hesperian,2,37,0,8,1,0,48
81,1/11/2019,Hillview,0,41,0,7,0,0,48
82,1/11/2019,Holbrook,1,69,1,6,2,47,32
83,1/11/2019,Hubbard,2,45,0,11,0,0,58
84,1/11/2019,Kitayama,0,36,1,6,0,0,43
85,1/11/2019,Linda Vista,1,96,1,7,1,75,31
86,1/11/2019,Logan,0,46,0,1,0,47,0
87,1/11/2019,Marie Kaiser,0,19,0,4,0,23,0
88,1/11/2019,Meadowfair,0,40,0,6,2,0,48
89,1/11/2019,Meyer,0,41,0,2,1,0,44
90,1/11/2019,Paul Miller,1,74,2,7,0,42,42
91,1/11/2019,Pioneer,1,36,1,4,0,0,42
92,1/11/2019,Reach,1,18,1,1,0,21,0
93,1/11/2019,Royal Sunset,1,26,1,18,0,0,46
94,1/11/2019,Russo,1,41,0,2,0,0,44
95,1/11/2019,Ryan,0,22,0,2,0,24,0
96,1/11/2019,Schilling,0,46,2,7,0,24,31
97,1/11/2019,Searles,0,37,1,6,0,0,44
98,1/11/2019,Sharon Jones,0,46,1,8,1,24,32
99,1/11/2019,Unidos,1,38,2,5,0,46,0
100,1/11/2019,Valley Medical Center,0,54,2,8,0,64,0
101,1/11/2019,Washington Hospital,0,56,2,1,0,59,0
102,1/14/2019,Amador,1,71,0,10,4,56,30
103,1/14/2019,Arbuckle,0,47,1,6,0,54,0
104,1/14/2019,Baldwin Park,0,64,0,9,1,42,32
105,1/14/2019,Bay,0,42,0,6,0,0,48
106,1/14/2019,Carlson,0,29,0,2,0,19,12
107,1/14/2019,Castlemont,0,57,1,9,0,67,0
108,1/14/2019,Cesar Chavez,3,73,3,15,1,0,95
109,1/14/2019,Chynoweth,0,31,0,4,1,36,0
110,1/14/2019,Colonial Acres,0,41,0,6,0,0,47
111,1/14/2019,Corvallis,0,44,0,4,0,0,48
112,1/14/2019,Cox,1,38,0,9,0,0,48
113,1/14/2019,Cureton,0,24,0,8,0,0,32
114,1/14/2019,Dayton,0,44,0,4,0,0,48
115,1/14/2019,Decoto,1,88,1,8,2,63,37
116,1/14/2019,Del Rey,0,37,0,8,0,0,45
117,1/14/2019,Delaine Eastin,0,25,1,2,0,21,7
118,1/14/2019,Dorsa,2,41,1,4,0,0,48
119,1/14/2019,Eden Palms,0,41,0,5,0,46,0
120,1/14/2019,Eden Youth,1,62,0,14,0,48,29
121,1/14/2019,Educare,2,67,1,8,0,52,26
122,1/14/2019,Emerald Vista,6,64,2,8,0,32,48
123,1/14/2019,Esther Hobbs,0,41,1,12,0,54,0
124,1/14/2019,FH,2,98,0,2,0,102,0
125,1/14/2019,Foxdale,0,0,39,0,0,39,0
126,1/14/2019,Glen Berry,0,25,0,6,0,23,8
127,1/14/2019,Goss,0,41,0,3,0,0,44
128,1/14/2019,Graham,2,48,2,4,0,24,32
129,1/14/2019,Grant,2,35,0,10,0,0,47
130,1/14/2019,Guy Emanuele,0,30,2,6,0,0,38
131,1/14/2019,Hesperian,1,42,0,4,1,0,48
132,1/14/2019,Hillview,0,33,0,15,0,0,48
133,1/14/2019,Holbrook,0,72,3,5,1,49,32
134,1/14/2019,Kitayama,2,30,0,9,1,0,42
135,1/14/2019,Linda Vista,2,89,0,13,2,74,32
136,1/14/2019,Logan,1,44,0,1,2,48,0
137,1/14/2019,Marie Kaiser,0,19,0,3,0,22,0
138,1/14/2019,Meadowfair,0,43,0,5,0,0,48
139,1/14/2019,Meyer,0,36,0,6,1,0,43
140,1/14/2019,Paul Miller,1,74,1,9,0,43,42
141,1/14/2019,Pioneer,1,37,1,5,0,0,44
142,1/14/2019,Reach,1,18,0,3,0,22,0
143,1/14/2019,Royal Sunset,1,26,1,18,0,0,46
144,1/14/2019,Russo,1,39,0,4,0,0,44
145,1/14/2019,Ryan,0,22,0,2,0,24,0
146,1/14/2019,Schilling,1,45,0,8,0,23,31
147,1/14/2019,Searles,1,37,1,5,0,0,44
148,1/14/2019,Sharon Jones,1,48,2,5,0,24,32
149,1/14/2019,Unidos,0,43,2,1,0,46,0
150,1/14/2019,Valley Medical Center,0,56,1,5,1,63,0
151,1/14/2019,Washington Hospital,0,59,0,1,0,60,0
152,1/15/2019,Amador,1,66,1,17,3,56,32
153,1/15/2019,Arbuckle,2,76,2,8,0,55,33
154,1/15/2019,Baldwin Park,0,62,1,14,1,46,32
155,1/15/2019,Bay,0,40,0,8,0,0,48
156,1/15/2019,Carlson,0,27,1,3,0,20,11
157,1/15/2019,Castlemont,0,62,1,6,0,69,0
158,1/15/2019,Cesar Chavez,3,80,4,9,0,0,96
159,1/15/2019,Chynoweth,1,29,1,5,0,36,0
160,1/15/2019,Colonial Acres,0,40,0,7,0,0,47
161,1/15/2019,Corvallis,1,43,0,4,0,0,48
162,1/15/2019,Cox,0,39,1,8,0,0,48
163,1/15/2019,Cureton,0,50,0,13,0,0,63
164,1/15/2019,Dayton,0,40,0,8,0,0,48
165,1/15/2019,Decoto,1,82,2,11,3,62,37
166,1/15/2019,Del Rey,0,35,0,10,0,0,45
167,1/15/2019,Delaine Eastin,0,26,1,3,0,23,7
168,1/15/2019,Dorsa,1,39,1,7,0,0,48
169,1/15/2019,Eden Palms,1,38,0,7,0,46,0
170,1/15/2019,Eden Youth,1,64,0,13,0,48,30
171,1/15/2019,Educare,1,62,1,12,0,50,26
172,1/15/2019,Emerald Vista,7,59,3,9,1,31,48
173,1/15/2019,Esther Hobbs,0,41,1,6,0,48,0
174,1/15/2019,FH,0,101,1,1,0,103,0
175,1/15/2019,Foxdale,1,25,3,12,0,41,0
176,1/15/2019,Glen Berry,0,24,0,8,0,24,8
177,1/15/2019,Goss,0,36,0,7,1,0,44
178,1/15/2019,Graham,3,48,1,4,0,24,32
179,1/15/2019,Grant,2,37,0,9,0,0,48
180,1/15/2019,Guy Emanuele,0,31,3,4,0,0,38
181,1/15/2019,Hesperian,0,39,0,8,1,0,48
182,1/15/2019,Hillview,0,32,0,16,0,0,48
183,1/15/2019,Holbrook,0,67,4,8,1,48,32
184,1/15/2019,Hubbard,1,52,0,7,0,0,60
185,1/15/2019,Kitayama,1,34,0,7,0,0,42
186,1/15/2019,Linda Vista,1,98,0,9,1,77,32
187,1/15/2019,Logan,0,46,0,2,0,48,0
188,1/15/2019,Marie Kaiser,0,21,0,2,0,23,0
189,1/15/2019,Meadowfair,0,42,0,6,0,0,48
190,1/15/2019,Meyer,0,37,0,5,1,0,43
191,1/15/2019,Paul Miller,1,77,2,5,0,43,42
192,1/15/2019,Pioneer,0,36,1,6,0,0,43
193,1/15/2019,Reach,3,18,0,2,0,23,0
194,1/15/2019,Royal Sunset,1,21,1,23,0,0,46
195,1/15/2019,Russo,1,36,0,7,0,0,44
196,1/15/2019,Ryan,0,23,0,1,0,24,0
197,1/15/2019,Schilling,1,46,0,7,0,23,31
198,1/15/2019,Searles,1,37,1,5,0,0,44
199,1/15/2019,Sharon Jones,0,53,2,1,0,24,32
200,1/15/2019,Unidos,0,39,2,4,0,45,0
201,1/15/2019,Valley Medical Center,1,58,0,5,1,65,0
202,1/15/2019,Washington Hospital,0,59,0,1,0,60,0
203,1/16/2019,Amador,0,68,1,14,3,56,30
204,1/16/2019,Arbuckle,1,72,2,12,0,54,33
205,1/16/2019,Baldwin Park,0,73,0,5,0,46,32
206,1/16/2019,Bay,0,36,0,12,0,0,48
207,1/16/2019,Carlson,0,30,0,2,0,20,12
208,1/16/2019,Castlemont,1,63,1,4,0,69,0
209,1/16/2019,Cesar Chavez,5,68,3,20,0,0,96
210,1/16/2019,Chynoweth,2,31,0,3,0,36,0
211,1/16/2019,Colonial Acres,1,36,0,10,0,0,47
212,1/16/2019,Corvallis,0,43,0,5,0,0,48
213,1/16/2019,Cox,0,33,1,14,0,0,48
214,1/16/2019,Cureton,1,45,0,16,0,0,62
215,1/16/2019,Dayton,1,38,0,9,0,0,48
216,1/16/2019,Decoto,1,86,2,11,2,63,39
217,1/16/2019,Del Rey,0,35,0,12,0,0,47
218,1/16/2019,Delaine Eastin,0,26,1,3,0,23,7
219,1/16/2019,Dorsa,1,38,1,9,0,0,49
220,1/16/2019,Eden Palms,0,44,0,2,0,46,0
221,1/16/2019,Eden Youth,0,68,1,9,0,48,30
222,1/16/2019,Educare,1,69,1,7,0,52,26
223,1/16/2019,Emerald Vista,2,66,2,8,1,31,48
224,1/16/2019,Esther Hobbs,1,45,3,5,0,54,0
225,1/16/2019,FH,0,100,0,2,0,102,0
226,1/16/2019,Foxdale,1,30,2,8,0,41,0
227,1/16/2019,Glen Berry,0,26,0,5,0,23,8
228,1/16/2019,Goss,0,38,0,6,0,0,44
229,1/16/2019,Graham,4,42,1,9,0,24,32
230,1/16/2019,Grant,2,31,0,13,0,0,46
231,1/16/2019,Guy Emanuele,1,33,3,2,0,0,39
232,1/16/2019,Hesperian,0,42,0,6,0,0,48
233,1/16/2019,Hillview,1,28,0,19,0,0,48
234,1/16/2019,Holbrook,0,67,3,10,0,48,32
235,1/16/2019,Hubbard,1,53,0,6,0,0,60
236,1/16/2019,Kitayama,0,32,0,10,0,0,42
237,1/16/2019,Linda Vista,0,96,0,11,2,77,32
238,1/16/2019,Logan,0,46,1,1,0,48,0
239,1/16/2019,Marie Kaiser,0,21,0,2,0,23,0
240,1/16/2019,Meadowfair,0,43,0,5,0,0,48
241,1/16/2019,Meyer,0,37,0,6,1,0,44
242,1/16/2019,Paul Miller,1,79,2,3,0,43,42
243,1/16/2019,Pioneer,0,33,1,9,0,0,43
244,1/16/2019,Reach,1,18,0,3,0,22,0
245,1/16/2019,Royal Sunset,0,31,2,13,0,0,46
246,1/16/2019,Russo,1,36,0,8,0,0,45
247,1/16/2019,Ryan,0,23,0,1,0,24,0
248,1/16/2019,Schilling,0,53,0,2,0,24,31
249,1/16/2019,Searles,1,39,1,3,0,0,44
250,1/16/2019,Sharon Jones,1,52,1,1,1,24,32
251,1/16/2019,Unidos,0,39,2,5,0,46,0
252,1/16/2019,Valley Medical Center,1,56,1,7,0,65,0
253,1/16/2019,Washington Hospital,0,57,0,3,0,60,0
254,1/17/2019,Amador,1,71,0,14,2,56,32
255,1/17/2019,Arbuckle,2,68,1,16,1,55,33
256,1/17/2019,Baldwin Park,1,67,1,8,1,46,32
257,1/17/2019,Bay,0,39,0,9,0,0,48
258,1/17/2019,Carlson,1,27,0,4,0,20,12
259,1/17/2019,Castlemont,1,60,1,7,0,69,0
260,1/17/2019,Cesar Chavez,3,70,3,19,1,0,96
261,1/17/2019,Chynoweth,0,30,2,4,0,36,0
262,1/17/2019,Colonial Acres,1,37,0,9,0,0,47
263,1/17/2019,Corvallis,0,43,0,5,0,0,48
264,1/17/2019,Cox,1,34,1,12,0,0,48
265,1/17/2019,Cureton,0,47,0,16,0,0,63
266,1/17/2019,Dayton,0,39,0,9,0,0,48
267,1/17/2019,Decoto,6,80,1,13,2,63,39
268,1/17/2019,Del Rey,0,35,0,12,0,0,47
269,1/17/2019,Delaine Eastin,0,22,2,6,0,23,7
270,1/17/2019,Dorsa,1,38,2,8,0,0,49
271,1/17/2019,Eden Palms,0,36,0,10,0,46,0
272,1/17/2019,Eden Youth,0,66,1,11,0,48,30
273,1/17/2019,Educare,1,66,1,10,0,51,27
274,1/17/2019,Emerald Vista,2,65,2,10,1,32,48
275,1/17/2019,Esther Hobbs,0,44,1,3,0,48,0
276,1/17/2019,FH,0,96,0,7,0,103,0
277,1/17/2019,Foxdale,0,30,0,9,0,39,0
278,1/17/2019,Glen Berry,0,27,0,5,0,24,8
279,1/17/2019,Goss,0,39,0,5,0,0,44
280,1/17/2019,Graham,3,43,2,8,0,24,32
281,1/17/2019,Grant,2,30,0,14,0,0,46
282,1/17/2019,Guy Emanuele,0,31,3,5,0,0,39
283,1/17/2019,Hesperian,0,42,0,5,1,0,48
284,1/17/2019,Hillview,0,35,0,13,0,0,48
285,1/17/2019,Holbrook,0,64,4,11,1,48,32
286,1/17/2019,Hubbard,1,48,0,11,0,0,60
287,1/17/2019,Kitayama,0,30,0,11,1,0,42
288,1/17/2019,Linda Vista,0,96,1,9,2,76,32
289,1/17/2019,Logan,0,45,0,2,1,48,0
290,1/17/2019,Marie Kaiser,0,21,0,2,0,23,0
291,1/17/2019,Meadowfair,2,39,0,7,0,0,48
292,1/17/2019,Meyer,0,37,0,6,1,0,44
293,1/17/2019,Paul Miller,0,76,1,7,1,43,42
294,1/17/2019,Pioneer,0,35,1,7,0,0,43
295,1/17/2019,Reach,1,16,0,5,0,22,0
296,1/17/2019,Royal Sunset,0,25,2,19,0,0,46
297,1/17/2019,Russo,0,36,0,8,1,0,45
298,1/17/2019,Ryan,0,18,0,5,0,23,0
299,1/17/2019,Schilling,0,50,0,5,0,24,31
300,1/17/2019,Searles,1,35,1,7,0,0,44
301,1/17/2019,Sharon Jones,3,50,1,2,0,24,32
302,1/17/2019,Unidos,0,36,2,8,0,46,0
303,1/17/2019,Valley Medical Center,0,55,1,8,0,64,0
304,1/17/2019,Washington Hospital,0,56,1,3,0,60,0
305,1/18/2019,Amador,3,43,0,32,8,56,30
306,1/18/2019,Arbuckle,3,60,2,19,2,53,33
307,1/18/2019,Baldwin Park,3,49,0,25,1,46,32
308,1/18/2019,Bay,0,38,0,10,0,0,48
309,1/18/2019,Carlson,1,22,3,6,0,20,12
310,1/18/2019,Castlemont,2,46,1,20,0,69,0
311,1/18/2019,Cesar Chavez,6,58,3,27,2,0,96
312,1/18/2019,Chynoweth,1,25,2,5,1,34,0
313,1/18/2019,Colonial Acres,0,32,0,15,0,0,47
314,1/18/2019,Corvallis,0,43,0,5,0,0,48
315,1/18/2019,Cox,0,35,1,12,0,0,48
316,1/18/2019,Cureton,2,44,0,17,0,0,63
317,1/18/2019,Dayton,0,38,0,10,0,0,48
318,1/18/2019,Decoto,7,78,3,11,3,63,39
319,1/18/2019,Del Rey,0,33,0,14,0,0,47
320,1/18/2019,Delaine Eastin,0,18,3,9,0,23,7
321,1/18/2019,Dorsa,1,36,2,10,0,0,49
322,1/18/2019,Eden Palms,1,32,0,9,0,42,0
323,1/18/2019,Eden Youth,1,58,1,17,1,48,30
324,1/18/2019,Educare,2,62,2,13,0,51,28
325,1/18/2019,Emerald Vista,3,54,2,19,0,30,48
326,1/18/2019,Esther Hobbs,0,43,1,10,0,54,0
327,1/18/2019,FH,0,91,0,9,0,100,0
328,1/18/2019,Foxdale,1,25,2,13,0,41,0
329,1/18/2019,Glen Berry,0,18,0,11,0,21,8
330,1/18/2019,Goss,0,38,0,6,0,0,44
331,1/18/2019,Graham,10,32,1,13,0,24,32
332,1/18/2019,Grant,2,28,1,14,0,0,45
333,1/18/2019,Guy Emanuele,1,31,3,4,0,0,39
334,1/18/2019,Hesperian,0,41,0,6,1,0,48
335,1/18/2019,Hillview,0,28,0,17,3,0,48
336,1/18/2019,Holbrook,5,47,2,23,2,47,32
337,1/18/2019,Hubbard,0,49,0,10,1,0,60
338,1/18/2019,Kitayama,0,34,0,8,0,0,42
339,1/18/2019,Linda Vista,1,88,0,17,1,75,32
340,1/18/2019,Logan,2,34,0,9,3,48,0
341,1/18/2019,Marie Kaiser,2,17,1,3,0,23,0
342,1/18/2019,Meadowfair,1,40,0,7,0,0,48
343,1/18/2019,Meyer,0,35,0,8,1,0,44
344,1/18/2019,Paul Miller,9,50,5,18,3,43,42
345,1/18/2019,Pioneer,0,31,1,11,0,0,43
346,1/18/2019,Reach,3,11,1,8,0,23,0
347,1/18/2019,Royal Sunset,0,25,2,19,0,0,46
348,1/18/2019,Russo,1,32,0,11,1,0,45
349,1/18/2019,Ryan,0,21,0,3,0,24,0
350,1/18/2019,Schilling,1,42,0,12,0,24,31
351,1/18/2019,Searles,0,32,0,12,0,0,44
352,1/18/2019,Sharon Jones,3,44,2,6,1,24,32
353,1/18/2019,Unidos,0,30,1,14,0,45,0
354,1/18/2019,Valley Medical Center,1,54,4,5,0,64,0
355,1/18/2019,Washington Hospital,0,56,0,4,0,60,0
356,1/2/2019,Amador,3,66,0,12,5,56,30
357,1/2/2019,Arbuckle,23,44,0,20,0,55,32
358,1/2/2019,Baldwin Park,4,45,1,29,1,48,32
359,1/2/2019,Bay,0,13,0,35,0,0,48
360,1/2/2019,Carlson,0,24,3,4,0,20,11
361,1/2/2019,Castlemont,7,38,1,20,3,69,0
362,1/2/2019,Cesar Chavez,14,52,2,22,2,0,92
363,1/2/2019,Chynoweth,3,17,0,15,1,36,0
364,1/2/2019,Colonial Acres,4,18,0,25,0,0,47
365,1/2/2019,Corvallis,1,30,1,16,0,0,48
366,1/2/2019,Cox,21,9,0,18,0,0,48
367,1/2/2019,Cureton,4,17,1,42,0,0,64
368,1/2/2019,Dayton,5,31,0,12,0,0,48
369,1/2/2019,Decoto,12,53,3,22,8,61,37
370,1/2/2019,Del Rey,0,26,0,19,0,0,45
371,1/2/2019,Delaine Eastin,0,15,1,14,0,23,7
372,1/2/2019,Dorsa,0,15,0,33,0,0,48
373,1/2/2019,Eden Palms,1,18,0,25,0,44,0
374,1/2/2019,Eden Youth,3,52,0,20,3,48,30
375,1/2/2019,Educare,8,38,1,27,2,51,25
376,1/2/2019,Emerald Vista,12,42,4,19,0,31,46
377,1/2/2019,Esther Hobbs,5,30,1,15,1,52,0
378,1/2/2019,FH,12,60,13,13,0,98,0
379,1/2/2019,Foxdale,0,15,5,20,0,40,0
380,1/2/2019,Glen Berry,4,22,0,5,0,23,8
381,1/2/2019,Goss,9,6,0,29,0,0,44
382,1/2/2019,Graham,12,22,5,17,0,24,32
383,1/2/2019,Grant,0,21,0,25,0,0,46
384,1/2/2019,Guy Emanuele,6,21,2,11,1,0,41
385,1/2/2019,Hesperian,7,17,1,22,2,0,49
386,1/2/2019,Hillview,12,15,0,18,3,0,48
387,1/2/2019,Holbrook,3,38,5,34,0,48,32
388,1/2/2019,Hubbard,19,20,0,19,0,0,58
389,1/2/2019,Kitayama,7,27,2,5,3,0,44
390,1/2/2019,Linda Vista,20,57,1,24,6,77,31
391,1/2/2019,Logan,2,34,1,7,1,45,0
392,1/2/2019,Marie Kaiser,7,14,0,1,0,22,0
393,1/2/2019,Meadowfair,6,29,0,13,0,0,48
394,1/2/2019,Meyer,0,27,0,16,1,0,44
395,1/2/2019,Paul Miller,7,57,5,14,1,43,41
396,1/2/2019,Pioneer,5,26,1,10,1,0,43
397,1/2/2019,Reach,1,15,0,5,0,21,0
398,1/2/2019,Royal Sunset,1,19,0,25,0,0,45
399,1/2/2019,Russo,0,12,0,32,0,0,44
400,1/2/2019,Ryan,0,16,0,8,0,24,0
401,1/2/2019,Schilling,12,29,3,12,0,24,32
402,1/2/2019,Searles,0,24,0,18,0,0,42
403,1/2/2019,Sharon Jones,8,30,1,16,1,24,32
404,1/2/2019,Unidos,2,22,0,20,0,44,0
405,1/2/2019,Valley Medical Center,3,49,1,9,1,63,0
406,1/2/2019,Washington Hospital,1,54,0,5,0,60,0
407,1/21/2019,Washington Hospital,0,45,1,15,0,61,0
408,1/22/2019,Amador,2,77,0,4,5,56,32
409,1/22/2019,Arbuckle,1,68,1,14,2,53,33
410,1/22/2019,Baldwin Park,3,70,0,4,1,46,32
411,1/22/2019,Bay,0,39,0,9,0,0,48
412,1/22/2019,Carlson,1,30,0,0,0,20,11
413,1/22/2019,Castlemont,1,62,1,5,0,69,0
414,1/22/2019,Cesar Chavez,3,78,3,12,1,0,97
415,1/22/2019,Chynoweth,1,33,1,1,0,36,0
416,1/22/2019,Colonial Acres,0,38,0,10,0,0,48
417,1/22/2019,Corvallis,1,41,1,5,0,0,48
418,1/22/2019,Cox,1,34,2,11,0,0,48
419,1/22/2019,Cureton,1,53,0,8,0,0,62
420,1/22/2019,Dayton,0,38,1,9,0,0,48
421,1/22/2019,Decoto,1,87,3,9,3,63,40
422,1/22/2019,Del Rey,2,38,0,8,0,0,48
423,1/22/2019,Delaine Eastin,0,25,1,4,0,23,7
424,1/22/2019,Dorsa,1,39,2,7,0,0,49
425,1/22/2019,Eden Palms,0,41,0,5,0,46,0
426,1/22/2019,Eden Youth,0,73,1,5,0,48,31
427,1/22/2019,Educare,3,63,1,11,0,50,28
428,1/22/2019,Emerald Vista,1,59,4,14,1,31,48
429,1/22/2019,Esther Hobbs,0,44,1,3,0,48,0
430,1/22/2019,FH,0,96,0,7,0,103,0
431,1/22/2019,Foxdale,1,33,2,5,0,41,0
432,1/22/2019,Glen Berry,0,30,0,2,0,24,8
433,1/22/2019,Goss,1,39,0,4,0,0,44
434,1/22/2019,Graham,6,40,2,8,0,24,32
435,1/22/2019,Grant,0,41,2,5,0,0,48
436,1/22/2019,Guy Emanuele,0,30,3,5,0,0,38
437,1/22/2019,Hesperian,1,40,0,5,2,0,48
438,1/22/2019,Hillview,1,40,0,6,1,0,48
439,1/22/2019,Holbrook,1,71,3,5,0,48,32
440,1/22/2019,Hubbard,0,49,0,10,1,0,60
441,1/22/2019,Kitayama,1,36,0,5,0,0,42
442,1/22/2019,Linda Vista,2,99,0,8,1,77,33
443,1/22/2019,Logan,0,44,0,4,0,48,0
444,1/22/2019,Marie Kaiser,2,20,0,1,0,23,0
445,1/22/2019,Meadowfair,0,41,0,7,0,0,48
446,1/22/2019,Meyer,0,39,0,3,1,0,43
447,1/22/2019,Paul Miller,2,75,2,6,0,43,42
448,1/22/2019,Pioneer,1,35,1,6,0,0,43
449,1/22/2019,Reach,1,19,0,2,0,22,0
450,1/22/2019,Royal Sunset,1,32,2,13,0,0,48
451,1/22/2019,Russo,0,37,0,7,1,0,45
452,1/22/2019,Ryan,0,22,1,1,0,24,0
453,1/22/2019,Schilling,1,37,0,17,0,23,32
454,1/22/2019,Searles,0,40,1,3,0,0,44
455,1/22/2019,Sharon Jones,0,54,0,1,0,24,31
456,1/22/2019,Unidos,0,36,1,7,0,44,0
457,1/22/2019,Valley Medical Center,0,61,1,3,0,65,0
458,1/22/2019,Washington Hospital,0,58,0,3,0,61,0
459,1/23/2019,Amador,1,76,0,6,3,56,30
460,1/23/2019,Arbuckle,1,72,1,10,2,53,33
461,1/23/2019,Baldwin Park,2,70,0,6,0,46,32
462,1/23/2019,Bay,0,38,0,10,0,0,48
463,1/23/2019,Carlson,0,30,1,1,0,20,12
464,1/23/2019,Castlemont,0,63,1,4,1,69,0
465,1/23/2019,Cesar Chavez,4,69,3,18,3,0,97
466,1/23/2019,Chynoweth,0,33,0,3,0,36,0
467,1/23/2019,Colonial Acres,0,38,0,10,0,0,48
468,1/23/2019,Corvallis,2,38,1,7,0,0,48
469,1/23/2019,Cox,0,39,3,5,1,0,48
470,1/23/2019,Cureton,1,50,0,11,0,0,62
471,1/23/2019,Dayton,0,42,1,5,0,0,48
472,1/23/2019,Decoto,1,93,2,6,1,63,40
473,1/23/2019,Del Rey,0,41,2,5,0,0,48
474,1/23/2019,Delaine Eastin,0,25,1,4,0,23,7
475,1/23/2019,Dorsa,1,44,2,2,0,0,49
476,1/23/2019,Eden Palms,0,41,0,4,0,45,0
477,1/23/2019,Eden Youth,0,72,1,6,0,48,31
