,AttendanceDate,Center,Best Interest,In Attendance,Other,Sick,Unexcused Absence,FD,PD,Total Attendance,Total Absence,Total,Attendance Rate
115,1/14/2019,Decoto,1,88,1,8,2,63,37,88,12,100,0.88
116,1/14/2019,Del Rey,0,37,0,8,0,0,45,37,8,45,0.8222222222222222
117,1/14/2019,Delaine Eastin,0,25,1,2,0,21,7,25,3,28,0.8928571428571429
118,1/14/2019,Dorsa,2,41,1,4,0,0,48,41,7,48,0.8541666666666666
119,1/14/2019,Eden Palms,0,41,0,5,0,46,0,41,5,46,0.8913043478260869
120,1/14/2019,Eden Youth,1,62,0,14,0,48,29,62,15,77,0.8051948051948052
121,1/14/2019,Educare,2,67,1,8,0,52,26,67,11,78,0.8589743589743589
122,1/14/2019,Emerald Vista,6,64,2,8,0,32,48,64,16,80,0.8
123,1/14/2019,Esther Hobbs,0,41,1,12,0,54,0,41,13,54,0.7592592592592593
124,1/14/2019,FH,2,98,0,2,0,102,0,98,4,102,0.9607843137254902
125,1/14/2019,Foxdale,0,0,39,0,0,39,0,0,39,39,0.0
126,1/14/2019,Glen Berry,0,25,0,6,0,23,8,25,6,31,0.8064516129032258
127,1/14/2019,Goss,0,41,0,3,0,0,44,41,3,44,0.9318181818181818
128,1/14/2019,Graham,2,48,2,4,0,24,32,48,8,56,0.8571428571428571
129,1/14/2019,Grant,2,35,0,10,0,0,47,35,12,47,0.7446808510638298
130,1/14/2019,Guy Emanuele,0,30,2,6,0,0,38,30,8,38,0.7894736842105263
131,1/14/2019,Hesperian,1,42,0,4,1,0,48,42,6,48,0.875
132,1/14/2019,Hillview,0,33,0,15,0,0,48,33,15,48,0.6875
133,1/14/2019,Holbrook,0,72,3,5,1,49,32,72,9,81,0.8888888888888888
134,1/14/2019,Kitayama,2,30,0,9,1,0,42,30,12,42,0.7142857142857143
135,1/14/2019,Linda Vista,2,89,0,13,2,74,32,89,17,106,0.839622641509434
136,1/14/2019,Logan,1,44,0,1,2,48,0,44,4,48,0.9166666666666666
137,1/14/2019,Marie Kaiser,0,19,0,3,0,22,0,19,3,22,0.8636363636363636
138,1/14/2019,Meadowfair,0,43,0,5,0,0,48,43,5,48,0.8958333333333334
139,1/14/2019,Meyer,0,36,0,6,1,0,43,36,7,43,0.8372093023255814
140,1/14/2019,Paul Miller,1,74,1,9,0,43,42,74,11,85,0.8705882352941177
141,1/14/2019,Pioneer,1,37,1,5,0,0,44,37,7,44,0.8409090909090909
142,1/14/2019,Reach,1,18,0,3,0,22,0,18,4,22,0.8181818181818182
143,1/14/2019,Royal Sunset,1,26,1,18,0,0,46,26,20,46,0.5652173913043478
144,1/14/2019,Russo,1,39,0,4,0,0,44,39,5,44,0.8863636363636364
145,1/14/2019,Ryan,0,22,0,2,0,24,0,22,2,24,0.9166666666666666
146,1/14/2019,Schilling,1,45,0,8,0,23,31,45,9,54,0.8333333333333334
147,1/14/2019,Searles,1,37,1,5,0,0,44,37,7,44,0.8409090909090909
148,1/14/2019,Sharon Jones,1,48,2,5,0,24,32,48,8,56,0.8571428571428571
149,1/14/2019,Unidos,0,43,2,1,0,46,0,43,3,46,0.9347826086956522
150,1/14/2019,Valley Medical Center,0,56,1,5,1,63,0,56,7,63,0.8888888888888888
151,1/14/2019,Washington Hospital,0,59,0,1,0,60,0,59,1,60,0.9833333333333333
152,1/15/2019,Amador,1,66,1,17,3,56,32,66,22,88,0.75
153,1/15/2019,Arbuckle,2,76,2,8,0,55,33,76,12,88,0.8636363636363636
154,1/15/2019,Baldwin Park,0,62,1,14,1,46,32,62,16,78,0.7948717948717948
155,1/15/2019,Bay,0,40,0,8,0,0,48,40,8,48,0.8333333333333334
156,1/15/2019,Carlson,0,27,1,3,0,20,11,27,4,31,0.8709677419354839
157,1/15/2019,Castlemont,0,62,1,6,0,69,0,62,7,69,0.8985507246376812
158,1/15/2019,Cesar Chavez,3,80,4,9,0,0,96,80,16,96,0.8333333333333334
159,1/15/2019,Chynoweth,1,29,1,5,0,36,0,29,7,36,0.8055555555555556
160,1/15/2019,Colonial Acres,0,40,0,7,0,0,47,40,7,47,0.851063829787234
161,1/15/2019,Corvallis,1,43,0,4,0,0,48,43,5,48,0.8958333333333334
162,1/15/2019,Cox,0,39,1,8,0,0,48,39,9,48,0.8125
163,1/15/2019,Cureton,0,50,0,13,0,0,63,50,13,63,0.7936507936507936
164,1/15/2019,Dayton,0,40,0,8,0,0,48,40,8,48,0.8333333333333334
165,1/15/2019,Decoto,1,82,2,11,3,62,37,82,17,99,0.8282828282828283
166,1/15/2019,Del Rey,0,35,0,10,0,0,45,35,10,45,0.7777777777777778
167,1/15/2019,Delaine Eastin,0,26,1,3,0,23,7,26,4,30,0.8666666666666667
168,1/15/2019,Dorsa,1,39,1,7,0,0,48,39,9,48,0.8125
169,1/15/2019,Eden Palms,1,38,0,7,0,46,0,38,8,46,0.8260869565217391
170,1/15/2019,Eden Youth,1,64,0,13,0,48,30,64,14,78,0.8205128205128205
171,1/15/2019,Educare,1,62,1,12,0,50,26,62,14,76,0.8157894736842105
172,1/15/2019,Emerald Vista,7,59,3,9,1,31,48,59,20,79,0.7468354430379747
173,1/15/2019,Esther Hobbs,0,41,1,6,0,48,0,41,7,48,0.8541666666666666
174,1/15/2019,FH,0,101,1,1,0,103,0,101,2,103,0.9805825242718447
175,1/15/2019,Foxdale,1,25,3,12,0,41,0,25,16,41,0.6097560975609756
176,1/15/2019,Glen Berry,0,24,0,8,0,24,8,24,8,32,0.75
177,1/15/2019,Goss,0,36,0,7,1,0,44,36,8,44,0.8181818181818182
178,1/15/2019,Graham,3,48,1,4,0,24,32,48,8,56,0.8571428571428571
179,1/15/2019,Grant,2,37,0,9,0,0,48,37,11,48,0.7708333333333334
180,1/15/2019,Guy Emanuele,0,31,3,4,0,0,38,31,7,38,0.8157894736842105
181,1/15/2019,Hesperian,0,39,0,8,1,0,48,39,9,48,0.8125
182,1/15/2019,Hillview,0,32,0,16,0,0,48,32,16,48,0.6666666666666666
183,1/15/2019,Holbrook,0,67,4,8,1,48,32,67,13,80,0.8375
184,1/15/2019,Hubbard,1,52,0,7,0,0,60,52,8,60,0.8666666666666667
185,1/15/2019,Kitayama,1,34,0,7,0,0,42,34,8,42,0.8095238095238095
186,1/15/2019,Linda Vista,1,98,0,9,1,77,32,98,11,109,0.8990825688073395
187,1/15/2019,Logan,0,46,0,2,0,48,0,46,2,48,0.9583333333333334
188,1/15/2019,Marie Kaiser,0,21,0,2,0,23,0,21,2,23,0.9130434782608695
189,1/15/2019,Meadowfair,0,42,0,6,0,0,48,42,6,48,0.875
190,1/15/2019,Meyer,0,37,0,5,1,0,43,37,6,43,0.8604651162790697
191,1/15/2019,Paul Miller,1,77,2,5,0,43,42,77,8,85,0.9058823529411765
192,1/15/2019,Pioneer,0,36,1,6,0,0,43,36,7,43,0.8372093023255814
193,1/15/2019,Reach,3,18,0,2,0,23,0,18,5,23,0.782608695652174
194,1/15/2019,Royal Sunset,1,21,1,23,0,0,46,21,25,46,0.45652173913043476
195,1/15/2019,Russo,1,36,0,7,0,0,44,36,8,44,0.8181818181818182
196,1/15/2019,Ryan,0,23,0,1,0,24,0,23,1,24,0.9583333333333334
197,1/15/2019,Schilling,1,46,0,7,0,23,31,46,8,54,0.8518518518518519
198,1/15/2019,Searles,1,37,1,5,0,0,44,37,7,44,0.8409090909090909
199,1/15/2019,Sharon Jones,0,53,2,1,0,24,32,53,3,56,0.9464285714285714
200,1/15/2019,Unidos,0,39,2,4,0,45,0,39,6,45,0.8666666666666667
201,1/15/2019,Valley Medical Center,1,58,0,5,1,65,0,58,7,65,0.8923076923076924
202,1/15/2019,Washington Hospital,0,59,0,1,0,60,0,59,1,60,0.9833333333333333
203,1/16/2019,Amador,0,68,1,14,3,56,30,68,18,86,0.7906976744186046
204,1/16/2019,Arbuckle,1,72,2,12,0,54,33,72,15,87,0.8275862068965517
205,1/16/2019,Baldwin Park,0,73,0,5,0,46,32,73,5,78,0.9358974358974359
206,1/16/2019,Bay,0,36,0,12,0,0,48,36,12,48,0.75
207,1/16/2019,Carlson,0,30,0,2,0,20,12,30,2,32,0.9375
208,1/16/2019,Castlemont,1,63,1,4,0,69,0,63,6,69,0.9130434782608695
209,1/16/2019,Cesar Chavez,5,68,3,20,0,0,96,68,28,96,0.7083333333333334
210,1/16/2019,Chynoweth,2,31,0,3,0,36,0,31,5,36,0.8611111111111112
211,1/16/2019,Colonial Acres,1,36,0,10,0,0,47,36,11,47,0.7659574468085106
212,1/16/2019,Corvallis,0,43,0,5,0,0,48,43,5,48,0.8958333333333334
213,1/16/2019,Cox,0,33,1,14,0,0,48,33,15,48,0.6875
214,1/16/2019,Cureton,1,45,0,16,0,0,62,45,17,62,0.7258064516129032
215,1/16/2019,Dayton,1,38,0,9,0,0,48,38,10,48,0.7916666666666666
216,1/16/2019,Decoto,1,86,2,11,2,63,39,86,16,102,0.8431372549019608
217,1/16/2019,Del Rey,0,35,0,12,0,0,47,35,12,47,0.7446808510638298
218,1/16/2019,Delaine Eastin,0,26,1,3,0,23,7,26,4,30,0.8666666666666667
219,1/16/2019,Dorsa,1,38,1,9,0,0,49,38,11,49,0.7755102040816326
220,1/16/2019,Eden Palms,0,44,0,2,0,46,0,44,2,46,0.9565217391304348
221,1/16/2019,Eden Youth,0,68,1,9,0,48,30,68,10,78,0.8717948717948718
222,1/16/2019,Educare,1,69,1,7,0,52,26,69,9,78,0.8846153846153846
223,1/16/2019,Emerald Vista,2,66,2,8,1,31,48,66,13,79,0.8354430379746836
224,1/16/2019,Esther Hobbs,1,45,3,5,0,54,0,45,9,54,0.8333333333333334
225,1/16/2019,FH,0,100,0,2,0,102,0,100,2,102,0.9803921568627451
226,1/16/2019,Foxdale,1,30,2,8,0,41,0,30,11,41,0.7317073170731707
227,1/16/2019,Glen Berry,0,26,0,5,0,23,8,26,5,31,0.8387096774193549
228,1/16/2019,Goss,0,38,0,6,0,0,44,38,6,44,0.8636363636363636
229,1/16/2019,Graham,4,42,1,9,0,24,32,42,14,56,0.75
230,1/16/2019,Grant,2,31,0,13,0,0,46,31,15,46,0.6739130434782609
231,1/16/2019,Guy Emanuele,1,33,3,2,0,0,39,33,6,39,0.8461538461538461
232,1/16/2019,Hesperian,0,42,0,6,0,0,48,42,6,48,0.875
233,1/16/2019,Hillview,1,28,0,19,0,0,48,28,20,48,0.5833333333333334
234,1/16/2019,Holbrook,0,67,3,10,0,48,32,67,13,80,0.8375
235,1/16/2019,Hubbard,1,53,0,6,0,0,60,53,7,60,0.8833333333333333
236,1/16/2019,Kitayama,0,32,0,10,0,0,42,32,10,42,0.7619047619047619
237,1/16/2019,Linda Vista,0,96,0,11,2,77,32,96,13,109,0.8807339449541285
238,1/16/2019,Logan,0,46,1,1,0,48,0,46,2,48,0.9583333333333334
239,1/16/2019,Marie Kaiser,0,21,0,2,0,23,0,21,2,23,0.9130434782608695
240,1/16/2019,Meadowfair,0,43,0,5,0,0,48,43,5,48,0.8958333333333334
241,1/16/2019,Meyer,0,37,0,6,1,0,44,37,7,44,0.8409090909090909
242,1/16/2019,Paul Miller,1,79,2,3,0,43,42,79,6,85,0.9294117647058824
243,1/16/2019,Pioneer,0,33,1,9,0,0,43,33,10,43,0.7674418604651163
244,1/16/2019,Reach,1,18,0,3,0,22,0,18,4,22,0.8181818181818182
245,1/16/2019,Royal Sunset,0,31,2,13,0,0,46,31,15,46,0.6739130434782609
246,1/16/2019,Russo,1,36,0,8,0,0,45,36,9,45,0.8
247,1/16/2019,Ryan,0,23,0,1,0,24,0,23,1,24,0.9583333333333334
248,1/16/2019,Schilling,0,53,0,2,0,24,31,53,2,55,0.9636363636363636
249,1/16/2019,Searles,1,39,1,3,0,0,44,39,5,44,0.8863636363636364
250,1/16/2019,Sharon Jones,1,52,1,1,1,24,32,52,4,56,0.9285714285714286
251,1/16/2019,Unidos,0,39,2,5,0,46,0,39,7,46,0.8478260869565217
252,1/16/2019,Valley Medical Center,1,56,1,7,0,65,0,56,9,65,0.8615384615384616
253,1/16/2019,Washington Hospital,0,57,0,3,0,60,0,57,3,60,0.95
254,1/17/2019,Amador,1,71,0,14,2,56,32,71,17,88,0.8068181818181818
255,1/17/2019,Arbuckle,2,68,1,16,1,55,33,68,20,88,0.7727272727272727
256,1/17/2019,Baldwin Park,1,67,1,8,1,46,32,67,11,78,0.8589743589743589
257,1/17/2019,Bay,0,39,0,9,0,0,48,39,9,48,0.8125
258,1/17/2019,Carlson,1,27,0,4,0,20,12,27,5,32,0.84375
259,1/17/2019,Castlemont,1,60,1,7,0,69,0,60,9,69,0.8695652173913043
260,1/17/2019,Cesar Chavez,3,70,3,19,1,0,96,70,26,96,0.7291666666666666
261,1/17/2019,Chynoweth,0,30,2,4,0,36,0,30,6,36,0.8333333333333334
262,1/17/2019,Colonial Acres,1,37,0,9,0,0,47,37,10,47,0.7872340425531915
263,1/17/2019,Corvallis,0,43,0,5,0,0,48,43,5,48,0.8958333333333334
264,1/17/2019,Cox,1,34,1,12,0,0,48,34,14,48,0.7083333333333334
265,1/17/2019,Cureton,0,47,0,16,0,0,63,47,16,63,0.746031746031746
266,1/17/2019,Dayton,0,39,0,9,0,0,48,39,9,48,0.8125
267,1/17/2019,Decoto,6,80,1,13,2,63,39,80,22,102,0.7843137254901961
268,1/17/2019,Del Rey,0,35,0,12,0,0,47,35,12,47,0.7446808510638298
269,1/17/2019,Delaine Eastin,0,22,2,6,0,23,7,22,8,30,0.7333333333333333
270,1/17/2019,Dorsa,1,38,2,8,0,0,49,38,11,49,0.7755102040816326
271,1/17/2019,Eden Palms,0,36,0,10,0,46,0,36,10,46,0.782608695652174
272,1/17/2019,Eden Youth,0,66,1,11,0,48,30,66,12,78,0.8461538461538461
273,1/17/2019,Educare,1,66,1,10,0,51,27,66,12,78,0.8461538461538461
274,1/17/2019,Emerald Vista,2,65,2,10,1,32,48,65,15,80,0.8125
275,1/17/2019,Esther Hobbs,0,44,1,3,0,48,0,44,4,48,0.9166666666666666
276,1/17/2019,FH,0,96,0,7,0,103,0,96,7,103,0.9320388349514563
277,1/17/2019,Foxdale,0,30,0,9,0,39,0,30,9,39,0.7692307692307693
278,1/17/2019,Glen Berry,0,27,0,5,0,24,8,27,5,32,0.84375
279,1/17/2019,Goss,0,39,0,5,0,0,44,39,5,44,0.8863636363636364
280,1/17/2019,Graham,3,43,2,8,0,24,32,43,13,56,0.7678571428571429
281,1/17/2019,Grant,2,30,0,14,0,0,46,30,16,46,0.6521739130434783
282,1/17/2019,Guy Emanuele,0,31,3,5,0,0,39,31,8,39,0.7948717948717948
283,1/17/2019,Hesperian,0,42,0,5,1,0,48,42,6,48,0.875
284,1/17/2019,Hillview,0,35,0,13,0,0,48,35,13,48,0.7291666666666666
285,1/17/2019,Holbrook,0,64,4,11,1,48,32,64,16,80,0.8
286,1/17/2019,Hubbard,1,48,0,11,0,0,60,48,12,60,0.8
287,1/17/2019,Kitayama,0,30,0,11,1,0,42,30,12,42,0.7142857142857143
288,1/17/2019,Linda Vista,0,96,1,9,2,76,32,96,12,108,0.8888888888888888
289,1/17/2019,Logan,0,45,0,2,1,48,0,45,3,48,0.9375
290,1/17/2019,Marie Kaiser,0,21,0,2,0,23,0,21,2,23,0.9130434782608695
291,1/17/2019,Meadowfair,2,39,0,7,0,0,48,39,9,48,0.8125
292,1/17/2019,Meyer,0,37,0,6,1,0,44,37,7,44,0.8409090909090909
293,1/17/2019,Paul Miller,0,76,1,7,1,43,42,76,9,85,0.8941176470588236
294,1/17/2019,Pioneer,0,35,1,7,0,0,43,35,8,43,0.813953488372093
295,1/17/2019,Reach,1,16,0,5,0,22,0,16,6,22,0.7272727272727273
296,1/17/2019,Royal Sunset,0,25,2,19,0,0,46,25,21,46,0.5434782608695652
297,1/17/2019,Russo,0,36,0,8,1,0,45,36,9,45,0.8
298,1/17/2019,Ryan,0,18,0,5,0,23,0,18,5,23,0.782608695652174
299,1/17/2019,Schilling,0,50,0,5,0,24,31,50,5,55,0.9090909090909091
300,1/17/2019,Searles,1,35,1,7,0,0,44,35,9,44,0.7954545454545454
301,1/17/2019,Sharon Jones,3,50,1,2,0,24,32,50,6,56,0.8928571428571429
302,1/17/2019,Unidos,0,36,2,8,0,46,0,36,10,46,0.782608695652174
303,1/17/2019,Valley Medical Center,0,55,1,8,0,64,0,55,9,64,0.859375
304,1/17/2019,Washington Hospital,0,56,1,3,0,60,0,56,4,60,0.9333333333333333
305,1/18/2019,Amador,3,43,0,32,8,56,30,43,43,86,0.5
306,1/18/2019,Arbuckle,3,60,2,19,2,53,33,60,26,86,0.6976744186046512
307,1/18/2019,Baldwin Park,3,49,0,25,1,46,32,49,29,78,0.6282051282051282
308,1/18/2019,Bay,0,38,0,10,0,0,48,38,10,48,0.7916666666666666
309,1/18/2019,Carlson,1,22,3,6,0,20,12,22,10,32,0.6875
310,1/18/2019,Castlemont,2,46,1,20,0,69,0,46,23,69,0.6666666666666666
311,1/18/2019,Cesar Chavez,6,58,3,27,2,0,96,58,38,96,0.6041666666666666
312,1/18/2019,Chynoweth,1,25,2,5,1,34,0,25,9,34,0.7352941176470589
313,1/18/2019,Colonial Acres,0,32,0,15,0,0,47,32,15,47,0.6808510638297872
314,1/18/2019,Corvallis,0,43,0,5,0,0,48,43,5,48,0.8958333333333334
315,1/18/2019,Cox,0,35,1,12,0,0,48,35,13,48,0.7291666666666666
316,1/18/2019,Cureton,2,44,0,17,0,0,63,44,19,63,0.6984126984126984
317,1/18/2019,Dayton,0,38,0,10,0,0,48,38,10,48,0.7916666666666666
318,1/18/2019,Decoto,7,78,3,11,3,63,39,78,24,102,0.7647058823529411
